Riding.code	Riding	Province	Riding.history	Parliament.no	Term	Id.2	Id	Name	Party.Name	Occupation	Religion	French	Length	switch.check	Ministry	Secretary	Change.party	Temporary.suspended.caucus	Excluded.caucus	Quit.caucus	First.Nations	Country.of.Birth	Note1	Note2	vote.id	H31S1V001	H31S1V002	H31S1V003	H31S1V004	H31S1V005	H31S1V006	H31S1V007	H31S1V008
573	"PRINCE GEORGE--PEACE RIVER"	"British Columbia"	"1978 - "	31	"1979.05.22"	1421	"67f94ff8-9189-41ff-b492-144787d47708"	"OBERLE, Frank"	"Progressive Conservative Party"	"Businessman"		0	3								""	"Germany"	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
523	"OTTAWA--CARLETON"	"Ontario"	"1966 - 1987"	31	"1979.05.22"	1432	"688eb408-a603-41ac-9929-547763ba95e1"	"PEPIN, Jean-Luc"	"Liberal Party of Canada"	"Political commentator, professor"		1	4								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"
295	"HUMBOLDT--LAKE CENTRE"	"Saskatchewan"	"1976 - 1987"	31	"1979.05.22"	1438	"68dfb8cb-7497-4ec0-9954-99193ae9c6f9"	"RICHARDSON, George"	"Progressive Conservative Party"	"Farmer"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
242	"GLENGARRY--PRESCOTT--RUSSELL"	"Ontario"	"1970 - "	31	"1979.05.22"	1444	"6958d11c-f0f8-46e1-8a03-7574d2103ce3"	"ETHIER, Denis"	"Liberal Party of Canada"	"Businessman, merchant"		1	3								""	""	""		""	"9"	"9"	"9"	"1"	"1"	"2"	"2"	"1"
163	"CROWFOOT"	"Alberta"	"1966 - "	31	"1979.05.22"	1500	"6d78f953-87f8-46bd-9445-bb565899ee70"	"MALONE, Arnold J."	"Progressive Conservative Party"	"Agrologist, farmer, public servant, rancher"		0	2								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
683	"SHERBROOKE"	"Quebec"	"1924 - "	31	"1979.05.22"	1506	"6d91abe4-80ed-46b3-9287-67ab83eaf04e"	"PELLETIER, Irenee"	"Liberal Party of Canada"	"Author, professor"		1	3								""	""	""		""	"2"	"9"	"1"	"1"	"1"	"2"	"2"	"1"
617	"ROBERVAL"	"Quebec"	"1947 - 2004"	31	"1979.05.22"	1528	"6ef85d82-0243-4e17-a3bd-41a064680fd1"	"GAUTHIER, Charles-Arthur"	"Social Credit"	"Furniture and appliances retailer, merchant, undertaker"		1	7								""	""	""		""	"1"	"9"	"2"	"2"	"2"	"1"	"1"	"9"
289	"HULL"	"Quebec"	"1914 - 1984"	31	"1979.05.22"	1530	"6eff5e4a-62b7-4984-9fab-0f77c6d4740d"	"ISABELLE, Gaston"	"Liberal Party of Canada"	"Physician"		1	5								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"9"	"1"
200	"EDMONTON SOUTH"	"Alberta"	"1976 - 1987"	31	"1979.05.22"	1536	"6f77b9ca-d1c8-4314-bbe4-e66ec286cc88"	"ROCHE, Doug"	"Progressive Conservative Party"	"Author, diplomat, editor, journalist, lecturer"		0	3			1					""	""	""		""	"2"	"2"	"9"	"2"	"2"	"9"	"9"	"2"
1260	"ST. JOHN'S WEST"	"Newfoundland and Labrador"	"1952 - 1987"	31	"1979.05.22"	1552	"71374525-4461-45ab-bad9-4faea6943d4e"	"CROSBIE, John C."	"Progressive Conservative Party"	"Lawyer"		0	2		1						""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
