session,division,party,date,governing,category,stage,bill,bill_type_source,whip_status,member_scope,source_id,majority_defined,dissenters,binary_members,contested,subject
38-1,18,Green Party,2004-12-01T17:45:28,False,government_bill,report_stage,C-5,legisinfo,category_proxy_other,unknown,,False,,0,True,"Bill C-5, An Act to provide financial assistance for post-secondary education savings (report stage amendment)"
38-1,19,Conservative,2004-12-01T17:55:09,False,government_bill,report_stage,C-5,legisinfo,category_proxy_other,unknown,,True,0,79,True,"Bill C-5, An Act to provide financial assistance for post-secondary education savings (report stage amendment)"
38-1,19,Liberal,2004-12-01T17:55:09,True,government_bill,report_stage,C-5,legisinfo,category_proxy_other,unknown,,True,0,119,True,"Bill C-5, An Act to provide financial assistance for post-secondary education savings (report stage amendment)"
38-1,19,NDP,2004-12-01T17:55:09,False,government_bill,report_stage,C-5,legisinfo,category_proxy_other,unknown,,True,0,17,True,"Bill C-5, An Act to provide financial assistance for post-secondary education savings (report stage amendment)"
38-1,19,Bloc Québécois,2004-12-01T17:55:09,False,government_bill,report_stage,C-5,legisinfo,category_proxy_other,unknown,,True,0,34,True,"Bill C-5, An Act to provide financial assistance for post-secondary education savings (report stage amendment)"
38-1,19,Green Party,2004-12-01T17:55:09,False,government_bill,report_stage,C-5,legisinfo,category_proxy_other,unknown,,False,,0,True,"Bill C-5, An Act to provide financial assistance for post-secondary education savings (report stage amendment)"
38-1,20,Conservative,2004-12-07T15:05:12,False,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,94,True,Opposition Motion (Mad cow crisis)
38-1,20,Liberal,2004-12-07T15:05:12,True,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,125,True,Opposition Motion (Mad cow crisis)
38-1,20,NDP,2004-12-07T15:05:12,False,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,19,True,Opposition Motion (Mad cow crisis)
38-1,20,Bloc Québécois,2004-12-07T15:05:12,False,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,51,True,Opposition Motion (Mad cow crisis)
38-1,20,Green Party,2004-12-07T15:05:12,False,opposition_motion,,,unknown,category_proxy_other,unknown,,False,,0,True,Opposition Motion (Mad cow crisis)
38-1,21,Conservative,2004-12-07T15:15:41,False,government_bill,third_reading,C-5,legisinfo,category_proxy_other,unknown,,True,0,94,True,"3rd reading and adoption of Bill C-5, An Act to provide financial assistance for post-secondary education savings"
38-1,21,Liberal,2004-12-07T15:15:41,True,government_bill,third_reading,C-5,legisinfo,category_proxy_other,unknown,,True,0,128,True,"3rd reading and adoption of Bill C-5, An Act to provide financial assistance for post-secondary education savings"
38-1,21,NDP,2004-12-07T15:15:41,False,government_bill,third_reading,C-5,legisinfo,category_proxy_other,unknown,,True,0,19,True,"3rd reading and adoption of Bill C-5, An Act to provide financial assistance for post-secondary education savings"
38-1,21,Bloc Québécois,2004-12-07T15:15:41,False,government_bill,third_reading,C-5,legisinfo,category_proxy_other,unknown,,True,0,51,True,"3rd reading and adoption of Bill C-5, An Act to provide financial assistance for post-secondary education savings"
38-1,21,Green Party,2004-12-07T15:15:41,False,government_bill,third_reading,C-5,legisinfo,category_proxy_other,unknown,,False,,0,True,"3rd reading and adoption of Bill C-5, An Act to provide financial assistance for post-secondary education savings"
38-1,22,Conservative,2004-12-07T15:25:25,False,government_bill,third_reading,C-14,legisinfo,category_proxy_other,unknown,,True,0,94,True,"3rd reading and adoption of Bill C-14, An Act to give effect to a land claims and self-government agreement among the Tlicho, the Government of the Northwest Territories and the Government of Canada, to make related amendments to the Mackenzie Valley Resource Management Act and to make consequential amendments to other Acts"
38-1,22,Liberal,2004-12-07T15:25:25,True,government_bill,third_reading,C-14,legisinfo,category_proxy_other,unknown,,True,0,128,True,"3rd reading and adoption of Bill C-14, An Act to give effect to a land claims and self-government agreement among the Tlicho, the Government of the Northwest Territories and the Government of Canada, to make related amendments to the Mackenzie Valley Resource Management Act and to make consequential amendments to other Acts"
38-1,22,NDP,2004-12-07T15:25:25,False,government_bill,third_reading,C-14,legisinfo,category_proxy_other,unknown,,True,0,19,True,"3rd reading and adoption of Bill C-14, An Act to give effect to a land claims and self-government agreement among the Tlicho, the Government of the Northwest Territories and the Government of Canada, to make related amendments to the Mackenzie Valley Resource Management Act and to make consequential amendments to other Acts"
