division_id,official_date,deposit_date,date_matches
H39S1V070,2006-11-22,2006-11-22,True
H39S1V071,2006-11-22,2006-11-22,True
H39S1V072,2006-11-27,2006-11-27,True
H39S1V073,2006-11-27,2006-11-27,True
H39S1V074,2006-11-27,2006-11-27,True
H39S1V075,2006-11-28,2006-11-28,True
H39S1V076,2006-11-28,2006-11-28,True
H39S1V077,2006-11-28,2006-11-28,True
H39S1V078,2006-11-28,2006-11-28,True
H39S1V079,2006-12-04,2006-12-04,True
H39S1V080,2006-12-04,2006-12-04,True
H39S1V081,2006-12-04,2006-12-04,True
H39S1V082,2006-12-04,2006-12-04,True
H39S1V083,2006-12-04,2006-12-04,True
H39S1V084,2006-12-04,2006-12-04,True
H39S1V085,2006-12-04,2006-12-04,True
H39S1V086,2006-12-04,2006-12-04,True
H39S1V087,2006-12-04,2006-12-04,True
H39S1V088,2006-12-04,2006-12-04,True
H39S1V089,2006-12-04,2006-12-04,True
H39S1V090,2006-12-04,2006-12-04,True
H39S1V091,2006-12-05,2006-12-05,True
H39S1V092,2006-12-05,2006-12-05,True
H39S1V093,2006-12-06,2006-12-06,True
H39S1V094,2006-12-07,2006-12-07,True
H39S1V095,2006-12-12,2006-12-12,True
H39S1V096,2006-12-12,2006-12-12,True
H39S1V097,2007-01-31,2007-01-31,True
H39S1V098,2007-02-05,2007-02-05,True
H39S1V099,2007-02-06,2007-02-06,True
H39S1V100,2007-02-06,2007-02-06,True
H39S1V101,2007-02-06,2007-02-06,True
H39S1V102,2007-02-06,2007-02-06,True
H39S1V103,2007-02-06,2007-02-06,True
H39S1V104,2007-02-13,2007-02-13,True
H39S1V105,2007-02-13,2007-02-13,True
H39S1V106,2007-02-13,2007-02-13,True
H39S1V107,2007-02-13,2007-02-13,True
H39S1V108,2007-02-14,2007-02-14,True
H39S1V109,2007-02-14,2007-02-14,True
H39S1V110,2007-02-14,2007-02-14,True
H39S1V111,2007-02-14,2007-02-14,True
H39S1V112,2007-02-14,2007-02-14,True
H39S1V113,2007-02-14,2007-02-14,True
H39S1V114,2007-02-20,2007-02-20,True
H39S1V115,2007-02-20,2007-02-20,True
H39S1V116,2007-02-20,2007-02-20,True
H39S1V117,2007-02-20,2007-02-20,True
H39S1V118,2007-02-20,2007-02-20,True
H39S1V119,2007-02-21,2007-02-21,True
H39S1V120,2007-02-21,2007-02-21,True
H39S1V121,2007-02-21,2007-02-21,True
H39S1V122,2007-02-21,2007-02-21,True
H39S1V123,2007-02-21,2007-02-21,True
H39S1V124,2007-02-21,2007-02-21,True
H39S1V125,2007-02-27,2007-02-27,True
H39S1V126,2007-02-27,2007-02-27,True
H39S1V127,2007-02-27,2007-02-27,True
H39S1V128,2007-02-28,2007-02-28,True
H39S1V129,2007-03-20,2007-03-20,True
H39S1V130,2007-03-21,2007-03-21,True
H39S1V131,2007-03-21,2007-03-21,True
H39S1V132,2007-03-21,2007-03-21,True
H39S1V133,2007-03-21,2007-03-21,True
H39S1V134,2007-03-21,2007-03-21,True
H39S1V135,2007-03-21,2007-03-21,True
H39S1V136,2007-03-21,2007-03-21,True
H39S1V137,2007-03-22,2007-03-22,True
H39S1V138,2007-03-26,2007-03-26,True
H39S1V139,2007-03-27,2007-03-27,True
H39S1V140,2007-03-27,2007-03-27,True
H39S1V141,2007-03-28,2007-03-28,True
H39S1V142,2007-03-28,2007-03-28,True
H39S1V143,2007-03-28,2007-03-28,True
H39S1V144,2007-03-28,2007-03-28,True
H39S1V145,2007-03-28,2007-03-28,True
H39S1V146,2007-03-28,2007-03-28,True
H39S1V147,2007-03-28,2007-03-28,True
H39S1V148,2007-03-28,2007-03-28,True
H39S1V149,2007-03-28,2007-03-28,True
H39S1V150,2007-03-28,2007-03-28,True
H39S1V151,2007-03-28,2007-03-28,True
H39S1V152,2007-04-17,2007-04-17,True
H39S1V153,2007-04-17,2007-04-17,True
H39S1V154,2007-04-17,2007-04-17,True
H39S1V155,2007-04-17,2007-04-17,True
H39S1V156,2007-04-18,2007-04-18,True
H39S1V157,2007-04-18,2007-04-18,True
H39S1V158,2007-04-18,2007-04-18,True
H39S1V159,2007-04-18,2007-04-18,True
H39S1V160,2007-04-24,2007-04-24,True
H39S1V161,2007-04-24,2007-04-24,True
H39S1V162,2007-04-24,2007-04-24,True
H39S1V163,2007-04-25,2007-04-25,True
H39S1V164,2007-04-25,2007-04-25,True
H39S1V165,2007-04-25,2007-04-25,True
H39S1V166,2007-04-30,2007-04-30,True
H39S1V167,2007-05-01,2007-05-01,True
H39S1V168,2007-05-01,2007-05-01,True
H39S1V169,2007-05-02,2007-05-02,True
H39S1V170,2007-05-02,2007-05-02,True
H39S1V171,2007-05-02,2007-05-02,True
H39S1V172,2007-05-07,2007-05-07,True
H39S1V173,2007-05-07,2007-05-07,True
H39S1V174,2007-05-07,2007-05-07,True
H39S1V175,2007-05-07,2007-05-07,True
H39S1V176,2007-05-07,2007-05-07,True
H39S1V177,2007-05-07,2007-05-07,True
H39S1V178,2007-05-07,2007-05-07,True
H39S1V179,2007-05-07,2007-05-07,True
H39S1V180,2007-05-08,2007-05-08,True
H39S1V181,2007-05-08,2007-05-08,True
H39S1V182,2007-05-09,2007-05-09,True
H39S1V183,2007-05-09,2007-05-09,True
H39S1V184,2007-05-09,2007-05-09,True
H39S1V185,2007-05-15,2007-05-15,True
H39S1V186,2007-05-15,2007-05-15,True
H39S1V187,2007-05-15,2007-05-15,True
H39S1V188,2007-05-15,2007-05-15,True
H39S1V189,2007-05-15,2007-05-15,True
H39S1V190,2007-05-29,2007-05-29,True
H39S1V191,2007-05-29,2007-05-29,True
H39S1V192,2007-05-30,2007-05-30,True
H39S1V193,2007-05-30,2007-05-30,True
H39S1V194,2007-06-04,2007-06-04,True
H39S1V195,2007-06-05,2007-06-05,True
H39S1V196,2007-06-05,2007-06-05,True
H39S1V197,2007-06-06,2007-06-06,True
H39S1V198,2007-06-06,2007-06-06,True
H39S1V199,2007-06-07,2007-06-07,True
H39S1V200,2007-06-12,2007-06-12,True
H39S1V201,2007-06-12,2007-06-12,True
H39S1V202,2007-06-12,2007-06-12,True
H39S1V203,2007-06-13,2007-06-13,True
H39S1V204,2007-06-13,2007-06-13,True
H39S1V205,2007-06-13,2007-06-13,True
H39S1V206,2007-06-14,2007-06-14,True
H39S1V207,2007-06-18,2007-06-18,True
H39S1V208,2007-06-18,2007-06-18,True
H39S1V209,2007-06-19,2007-06-19,True
H39S1V210,2007-06-20,2007-06-20,True
H39S1V211,2007-06-20,2007-06-20,True
H39S1V212,2007-06-20,2007-06-20,True
H39S1V213,2007-06-20,2007-06-20,True
H39S1V214,2007-06-20,2007-06-20,True
H39S1V215,2007-06-20,2007-06-20,True
H39S1V216,2007-06-20,2007-06-20,True
H39S1V217,2007-06-20,2007-06-20,True
H39S1V218,2007-06-20,2007-06-20,True
H39S1V219,2007-06-20,2007-06-20,True
H39S2V001,2007-10-18,2007-10-18,True
H39S2V002,2007-10-22,2007-10-22,True
H39S2V003,2007-10-24,2007-10-24,True
H39S2V004,2007-10-24,2007-10-24,True
H39S2V005,2007-10-30,2007-10-30,True
H39S2V006,2007-10-30,2007-10-30,True
H39S2V007,2007-10-31,2007-10-31,True
H39S2V008,2007-11-14,2007-11-14,True
H39S2V009,2007-11-14,2007-11-14,True
H39S2V010,2007-11-20,2007-11-20,True
H39S2V011,2007-11-21,2007-11-21,True
H39S2V012,2007-11-21,2007-11-21,True
H39S2V013,2007-11-21,2007-11-21,True
H39S2V014,2007-11-26,2007-11-26,True
H39S2V015,2007-11-26,2007-11-26,True
H39S2V016,2007-11-28,2007-11-28,True
H39S2V017,2007-11-28,2007-11-28,True
H39S2V018,2007-11-28,2007-11-28,True
H39S2V019,2007-12-04,2007-12-04,True
H39S2V020,2007-12-05,2007-12-05,True
H39S2V021,2007-12-06,2007-12-06,True
H39S2V022,2007-12-06,2007-12-06,True
H39S2V023,2007-12-10,2007-12-10,True
H39S2V024,2007-12-10,2007-12-10,True
H39S2V025,2007-12-11,2007-12-11,True
H39S2V026,2007-12-12,2007-12-12,True
H39S2V027,2007-12-12,2007-12-12,True
H39S2V028,2007-12-12,2007-12-12,True
H39S2V029,2007-12-12,2007-12-12,True
H39S2V030,2007-12-13,2007-12-13,True
H39S2V031,2008-01-30,2008-01-30,True
H39S2V032,2008-02-04,2008-02-04,True
H39S2V033,2008-02-04,2008-02-04,True
H39S2V034,2008-02-05,2008-02-05,True
H39S2V035,2008-02-05,2008-02-05,True
H39S2V036,2008-02-05,2008-02-05,True
H39S2V037,2008-02-06,2008-02-06,True
H39S2V038,2008-02-06,2008-02-06,True
H39S2V039,2008-02-06,2008-02-06,True
H39S2V040,2008-02-12,2008-02-12,True
H39S2V041,2008-02-13,2008-02-13,True
H39S2V042,2008-02-13,2008-02-13,True
H39S2V043,2008-02-28,2008-02-28,True
H39S2V044,2008-03-03,2008-03-03,True
H39S2V045,2008-03-03,2008-03-03,True
H39S2V046,2008-03-03,2008-03-03,True
H39S2V047,2008-03-04,2008-03-04,True
H39S2V048,2008-03-05,2008-03-05,True
H39S2V049,2008-03-05,2008-03-05,True
H39S2V050,2008-03-05,2008-03-05,True
H39S2V051,2008-03-05,2008-03-05,True
H39S2V052,2008-03-05,2008-03-05,True
H39S2V053,2008-03-05,2008-03-05,True
H39S2V054,2008-03-05,2008-03-05,True
H39S2V055,2008-03-05,2008-03-05,True
H39S2V056,2008-03-05,2008-03-05,True
H39S2V057,2008-03-05,2008-03-05,True
H39S2V058,2008-03-05,2008-03-05,True
H39S2V059,2008-03-05,2008-03-05,True
H39S2V060,2008-03-05,2008-03-05,True
