parliament,deposit_term_id,deposit_name,deposit_constituency,person_id,method,observable_records
39,1912.2,"TURNER, Garth",HALTON,35592,full_name,216
39,2025,"MARLEAU, Diane",SUDBURY,1013,full_name,292
39,2126,"RAE, Bob",TORONTO CENTRE,14188,full_name,59
39,2178,"BEVILACQUA, Maurizio",VAUGHAN,1059,full_name,275
39,2262,"MACAULAY, Lawrence",CARDIGAN,33,full_name,306
39,2403,"COMUZZI, Joe",THUNDER BAY--SUPERIOR NORTH,1028,full_name,73
39,2403.1,"COMUZZI, Joe",THUNDER BAY--SUPERIOR NORTH,1028,full_name,48
39,2403.2,"COMUZZI, Joe",THUNDER BAY--SUPERIOR NORTH,1028,full_name,148
39,2505,"NICHOLSON, Rob",NIAGARA FALLS,820,full_name,364
39,2506,"BLAIKIE, Bill",ELMWOOD--TRANSCONA,1200,full_name,239
39,2672,"RICHARDSON, Lee",CALGARY CENTRE,25450,full_name,364
39,2785,"LAPIERRE, Jean-C.",OUTREMONT,25528,surname_constituency,63
39,3057,"MCGUIRE, Joe",EGMONT,35,full_name,281
39,3134,"PETERSON, Jim",WILLOWDALE,1086,full_name,186
39,3273,"DUCEPPE, Gilles",LAURIER--SAINTE-MARIE,313,full_name,345
39,3372,"BLACK, Dawn",NEW WESTMINSTER--COQUITLAM,1488,full_name,323
39,3494,"LAKE, Mike",EDMONTON--MILL WOODS--BEAUMONT,35857,full_name,379
