Person ID,Member of Parliament,Political Affiliation,Member Voted,Paired
71780,Rathika Sitsabaiesan (Scarborough—Rouge River),NDP,Yea,
25533,Joy Smith (Kildonan—St. Paul),Conservative,Yea,
69488,Robert Sopuck (Dauphin—Swan River—Marquette),Conservative,Yea,
1832,Kevin Sorenson (Crowfoot),Conservative,Yea,
35724,Bruce Stanton (Simcoe North),Conservative,Yea,
58697,Lise St-Denis (Saint-Maurice—Champlain),Liberal,Yea,
71986,Mark Strahl (Chilliwack—Fraser Canyon),Conservative,Yea,
59087,Mike Sullivan (York South—Weston),NDP,Yea,
31715,David Sweet (Ancaster—Dundas—Flamborough—Westdale),Conservative,Yea,
25461,David Tilson (Dufferin—Caledon),Conservative,Yea,
71839,Lawrence Toet (Elmwood—Transcona),Conservative,Yea,
58628,Jonathan Tremblay (Montmorency—Charlevoix—Haute-Côte-Nord),NDP,Yea,
25462,Brad Trost (Saskatoon—Humboldt),Conservative,Yea,
71627,Bernard Trottier (Etobicoke—Lakeshore),Conservative,Yea,
58733,Justin Trudeau (Papineau),Liberal,Yea,
71401,Nycole Turmel (Hull—Aylmer),NDP,Yea,
30645,Tim Uppal (Edmonton—Sherwood Park),Conservative,Yea,
40463,Bernard Valcourt (Madawaska—Restigouche),Conservative,Yea,
58890,Frank Valeriote (Guelph),Liberal,Yea,
31765,Dave Van Kesteren (Chatham-Kent—Essex),Conservative,Yea,
25465,Peter Van Loan (York—Simcoe),Conservative,Yea,
54434,Adam Vaughan (Trinity—Spadina),Liberal,Yea,
31791,Mike Wallace (Burlington),Conservative,Yea,
25467,Mark Warawa (Langley),Conservative,Yea,
35886,Chris Warkentin (Peace River),Conservative,Yea,
1099,Jeff Watson (Essex),Conservative,Yea,
35998,John Weston (West Vancouver—Sunshine Coast—Sea to Sky Country),Conservative,Yea,
4255,Rodney Weston (Saint John),Conservative,Yea,
72006,David Wilks (Kootenay—Columbia),Conservative,Yea,
71323,John Williamson (New Brunswick Southwest),Conservative,Yea,
30812,Alice Wong (Richmond),Conservative,Yea,
58919,Stephen Woodworth (Kitchener Centre),Conservative,Yea,
59331,Wai Young (Vancouver South),Conservative,Yea,
86260,David Yurdiga (Fort McMurray—Athabasca),Conservative,Yea,
72035,Bob Zimmer (Prince George—Peace River),Conservative,Yea,
