vote_number,date,subject,bill_number,result,yeas,nays,paired
392,2015-05-04T18:50:00,"Concurrence at report stage of Bill C-51, An Act to enact the Security of Canada Information Sharing Act and the Secure Air Travel Act, to amend the Criminal Code, the Canadian Security Intelligence Service Act and the Immigration and Refugee Protection Act and to make related and consequential amendments to other Acts",C-51,Agreed To,169,79,0
391,2015-05-04T18:35:38,"Bill C-51, An Act to enact the Security of Canada Information Sharing Act and the Secure Air Travel Act, to amend the Criminal Code, the Canadian Security Intelligence Service Act and the Immigration and Refugee Protection Act and to make related and consequential amendments to other Acts (report stage amendment)",C-51,Negatived,79,169,0
390,2015-04-30T16:43:23,"Time allocation for Bill C-50, An Act to amend the Canada Elections Act",C-50,Agreed To,132,75,0
389,2015-04-30T13:40:20,"Time allocation for Bill C-51, An Act to enact the Security of Canada Information Sharing Act and the Secure Air Travel Act, to amend the Criminal Code, the Canadian Security Intelligence Service Act and the Immigration and Refugee Protection Act and to make related and consequential amendments to other Acts",C-51,Agreed To,134,104,0
388,2015-04-30T12:25:07,Motion to adjourn the House,,Negatived,75,159,0
387,2015-04-30T11:45:45,Motion to adjourn the debate,,Agreed To,139,101,0
386,2015-04-30T11:05:29,Motion to adjourn the House,,Negatived,75,161,0
385,2015-04-29T18:15:33,"2nd reading of Bill C-624, An Act to amend the National Anthem Act (gender)",C-624,Negatived,127,144,0
384,2015-04-29T18:05:29,"2nd reading of Bill C-640, An Act respecting VIA Rail Canada and making consequential amendments to the Canada Transportation Act",C-640,Negatived,122,152,0
383,2015-04-29T17:55:35,Private Members' Business M-553 (Canadian Air Transport Security Authority),,Agreed To,276,0,0
382,2015-04-29T17:45:20,Budgetary policy,,Agreed To,153,123,0
381,2015-04-28T17:55:34,Opposition Motion (Government advertising),,Negatived,126,151,0
380,2015-04-28T17:45:08,Budgetary policy (amendment),,Negatived,124,152,0
379,2015-04-27T18:30:33,Budgetary policy (subamendment),,Negatived,114,147,0
378,2015-04-22T18:10:11,Private Members' Business M-550 (Rail service),,Agreed To,260,0,0
377,2015-04-22T18:00:53,"2nd reading of Bill C-636, An Act to amend the Canada Labour Code (unpaid training)",C-636,Negatived,125,136,0
376,2015-04-20T18:40:00,"2nd reading of Bill C-42, An Act to amend the Firearms Act and the Criminal Code and to make a related amendment and a consequential amendment to other Acts",C-42,Agreed To,150,121,0
375,2015-04-20T18:30:00,Opposition Motion (Coastal water protection),,Negatived,120,150,0
374,2015-04-01T18:30:55,"2nd reading of Bill C-613, An Act to amend the Parliament of Canada Act and the Access to Information Act (transparency)",C-613,Negatived,122,139,0
373,2015-04-01T18:20:50,"[number – one to ten in letters, others in numbers with st,rd,th] Report of the [Committee Name]",,Agreed To,139,122,0
372,2015-04-01T18:10:25,"2nd reading of Bill C-628, An Act to amend the Canada Shipping Act, 2001 and the National Energy Board Act (oil transportation and pipeline certificate)",C-628,Negatived,120,141,0
371,2015-04-01T18:00:21,Private Members' Business M-533 (Citizen consultation preceding natural resource development),,Negatived,121,140,0
370,2015-04-01T16:30:27,"Time allocation for Bill C-42, An Act to amend the Firearms Act and the Criminal Code and to make a related amendment and a consequential amendment to other Acts",C-42,Agreed To,134,122,0
369,2015-03-31T11:45:39,Motion to adjourn the debate,,Agreed To,136,114,0
368,2015-03-30T18:10:48,Government Business No. 17 (Military contribution against ISIL),,Agreed To,142,129,0
367,2015-03-30T18:00:19,Government Business No. 17 (Military contribution against ISIL) (amendment),,Negatived,96,176,0
366,2015-03-30T16:15:39,Motion for closure,,Agreed To,131,117,0
365,2015-03-25T18:20:06,"2nd reading of Bill S-219, An Act respecting a national day of commemoration of the exodus of Vietnamese refugees and their acceptance in Canada after the fall of Saigon and the end of the Vietnam War",S-219,Agreed To,266,0,0
364,2015-03-25T18:10:01,Private Members' Business M-537 (Takeover of Stelco),,Negatived,122,145,0
363,2015-03-25T18:00:45,Ways and Means motion No. 17,,Agreed To,145,122,0
362,2015-03-24T19:07:59,"3rd reading and adoption of Bill C-55, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2016",C-55,Agreed To,150,130,0
361,2015-03-24T19:05:00,"Concurrence at report stage of Bill C-55, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2016",C-55,Agreed To,150,130,0
360,2015-03-24T19:02:23,"2nd reading of Bill C-55, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2016",C-55,Agreed To,150,130,0
359,2015-03-24T18:59:31,Concurrence in Interim Supply,,Agreed To,150,130,0
358,2015-03-24T18:56:25,"3rd reading and adoption of Bill C-54, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2015",C-54,Agreed To,150,130,0
357,2015-03-24T18:54:20,"Concurrence at report stage of Bill C-54, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2015",C-54,Agreed To,150,130,0
356,2015-03-24T18:50:58,"2nd reading of Bill C-54, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2015",C-54,Agreed To,150,130,0
355,2015-03-24T18:41:16,Concurrence in estimates,,Agreed To,150,130,0
354,2015-03-24T18:25:41,Opposition Motion (Environmental impacts of microbeads),,Agreed To,279,0,0
